TreeID,Species,Plot,prev_dbh,next_dbh_pred,delta_pred,next_dbh_final,year_step
1,sugar maple,Upper,27.432,26.785111982690573,-0.6468880173094256,27.451999999999998,1
10,sugar maple,Upper,36.576,34.814307696943644,-1.761692303056357,36.596000000000004,1
100,sugar maple,Upper,22.86,22.535650356591187,-0.3243496434088122,22.88,1
108,black birch,Lower,8.255,6.016920780963536,-2.2380792190364645,8.275,1
109,black birch,Lower,6.8326,4.8914689621770915,-1.9411310378229087,6.8526,1
11,sugar maple,Upper,41.020999999999994,38.78471118102482,-2.2362888189751757,41.041,1
110,red oak,Lower,65.0494,64.31713132783841,-0.7322686721615952,65.0694,1
115,black birch,Lower,6.8580000000000005,4.911566316083993,-1.9464336839160072,6.878,1
116,white pine,Lower,41.91,32.88827130885889,-9.021728691141107,41.93,1
117,red oak,Lower,75.18400000000001,72.7368291533268,-2.4471708466732167,75.20400000000001,1
118,black birch,Lower,3.9116,2.6379931731770903,-1.2736068268229097,3.9316,1
119,pignut hickory,Lower,5.3340000000000005,2.417520905404647,-2.9164790945953536,5.354,1
12,sugar maple,Upper,26.3144,25.750857620467603,-0.5635423795323966,26.3344,1
120,mockernut hickory,Lower,10.414,7.107867425438412,-3.3061325745615875,10.434,1
121,musclewood,Lower,4.3434,0.3557505467432921,-3.987649453256708,4.3633999999999995,1
122,white pine,Lower,31.496,25.601359682039796,-5.894640317960203,31.516,1
123,black birch,Lower,6.9088,4.951761023897793,-1.957038976102207,6.9288,1
125,musclewood,Lower,3.81,0.024764236989330723,-3.7852357630106694,3.83,1
127,black birch,Lower,14.478000000000002,11.164715145907273,-3.3132848540927284,14.498000000000001,1
128,black birch,Lower,24.460200000000004,19.824440118844784,-4.63575988115522,24.480200000000004,1
129,musclewood,Lower,21.8694,13.783362080896747,-8.086037919103251,21.8894,1
13,sugar maple,Upper,37.4396,35.57808599240509,-1.8615140075949057,37.4596,1
130,musclewood,Lower,23.571199999999997,14.881478893510003,-8.689721106489994,23.591199999999997,1
131,musclewood,Lower,17.526,10.333050904302596,-7.192949095697404,17.546,1
132,black birch,Lower,10.668,7.926169402119115,-2.7418305978808846,10.687999999999999,1
133,black birch,Lower,11.8872,8.926681949602441,-2.9605180503975586,11.9072,1
135,white pine,Lower,11.938,11.389467254416004,-0.5485327455839961,11.958,1
138,shagbark hickory,Lower,43.561,40.796428692676,-2.7645713073239975,43.581,1
14,sugar maple,Upper,41.91,39.621096103048096,-2.2889038969519007,41.93,1
140,black birch,Lower,8.9916,6.59974404426366,-2.3918559557363404,9.0116,1
141,musclewood,Lower,5.7912,1.3560711928652704,-4.4351288071347295,5.8111999999999995,1
143,black birch,Lower,5.6896,4.005535196158819,-1.6840648038411814,5.7096,1
146,dogwood,Lower,2.9463999999999997,0.0,-2.9463999999999997,2.9663999999999997,1
148,black birch,Lower,8.229600000000001,5.996823427056637,-2.232776572943364,8.249600000000001,1
149,black birch,Lower,30.3276,24.051806757974035,-6.275793242025966,30.3476,1
15,sugar maple,Upper,17.907,17.215336770028948,-0.6916632299710521,17.927,1
150,black birch,Lower,9.0424,6.639938752077461,-2.40246124792254,9.0624,1
153,black birch,Lower,5.460999999999999,3.828846510323786,-1.6321534896762135,5.480999999999999,1
154,black birch,Lower,5.08,3.5343653672653956,-1.5456346327346044,5.1,1
157,black birch,Lower,6.502400000000001,4.632203726828254,-1.8701962731717465,6.5224,1
160,red maple,Lower,5.8166,3.5546980620779505,-2.2619019379220497,5.8366,1
161,black birch,Lower,8.89,6.519354628636059,-2.370645371363942,8.91,1
163,musclewood,Lower,7.5692,2.5948709748632246,-4.974329025136775,7.5892,1
